timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
364531080,-0.997824,0.0963893,0.254008,4001,0,4.48526,-8.33697,-12.6324,4001
364535079,-0.106618,0.00708528,0.0501756,3999,0,-2.87849,35.0099,-8.29032,3999
364539043,0.980039,0.296054,-0.207128,3964,0,-1.43866,-18.2775,-6.72136,3964
364543035,-0.437016,0.0387734,0.222403,3992,0,9.32995,-22.8253,-14.307,3992
364547036,-0.501853,-0.173152,0.156655,4001,0,-11.0899,33.3396,-11.2758,4001
364551085,0.572289,0.520526,-0.226686,4049,0,-2.72394,-1.71634,-2.19208,4049
364555037,0.449885,0.104936,0.255082,3952,0,17.558,-27.7857,-16.7234,3952
364559035,-0.732357,-0.35979,0.0381506,3998,0,-10.8006,19.8469,-9.29234,3998
364563089,0.478883,0.491966,-0.0927248,4054,0,-12.6494,9.15961,-3.33008,4054
364567046,0.558631,0.389512,0.255167,3957,0,21.9877,-22.8997,-15.7994,3957
364571880,-0.399831,-0.322603,-0.181676,4834,0,-6.27194,9.65746,-10.0853,4834
364575876,0.493878,0.398885,-0.0177945,3996,0,-16.2468,4.87264,-3.65989,3996
364579876,0.288627,0.494032,0.344581,4000,0,22.4605,-11.751,-15.3526,4000
364583881,-0.0212952,-0.238916,-0.32034,4005,0,1.29504,1.77399,-11.0549,4005
364587877,0.147595,0.127086,-0.139408,3996,0,-22.0112,3.19389,-4.3753,3996
364591879,-0.0405773,0.406449,0.285821,4002,0,16.1837,1.62264,-12.0282,4002
364595879,0.58511,-0.151676,-0.278357,4000,0,6.07652,-5.79638,-12.1615,4000
364599879,-0.0658447,0.200837,-0.0238696,4000,0,-17.6193,-1.31053,-4.4133,4000
364603880,-0.0291954,0.235616,0.195721,4001,0,8.74668,11.2701,-11.1341,4001
364608678,0.746942,-0.198558,-0.171487,4798,0,3.91077,-11.6178,-10.0285,4798
364612647,-0.534187,0.336229,0.153058,3969,0,-9.80118,-7.47491,-7.22264,3969
364616676,-0.206778,0.0828267,0.0950303,4029,0,3.66377,25.7357,-11.665,4029
364620676,1.19408,-0.271774,-0.246268,4000,0,6.06646,-6.01745,-8.23085,4000
364624677,-0.182733,0.268918,-0.010106,4001,0,-4.19112,-30.3645,-9.76272,4001
364628677,-0.733006,-0.046388,0.223736,4000,0,-3.9276,27.8092,-11.38,4000
364632674,0.791674,-0.129964,-0.292989,3997,0,3.76208,15.6861,-5.84541,3997
364636676,0.844874,0.214426,0.0603209,4002,0,4.82735,-43.8865,-11.5649,4002
364640644,-1.26866,-0.154353,0.133132,3968,0,-4.80341,9.20268,-9.02582,3968
364644676,0.467183,-0.0949671,-0.237173,4032,0,-6.54447,41.4932,-9.23462,4032
