timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
373616851,0.0707013,-0.158042,-0.878854,0.0,0.902795,-0.00167549,-0.0863834,-0.421304,0.23048,1.0,1,0,0,0,0,0,0
373719539,-0.025031,-0.335751,-0.876955,0.0,0.891713,-0.0821055,-0.146031,-0.420454,0.236904,1.0,1,0,0,0,0,0,0
373820839,0.0295685,-0.407812,-0.875553,0.0,0.888105,-0.0727218,-0.189517,-0.412388,0.241214,1.0,1,0,0,0,0,0,0
373922437,-0.0840764,-0.44984,-0.874261,0.0,0.878402,-0.131449,-0.184535,-0.420806,0.243599,1.0,1,0,0,0,0,0,0
374025233,0.0936709,-0.447315,-0.873342,0.0,0.887017,-0.0523325,-0.220072,-0.402529,0.252791,1.0,1,0,0,0,0,0,0
374126705,0.113486,-0.45483,-0.872485,0.0,0.886991,-0.0450343,-0.227362,-0.399406,0.259584,1.0,1,0,0,0,0,0,0
374228019,0.0639111,-0.466267,-0.872029,0.0,0.884588,-0.0693424,-0.222434,-0.404004,0.257173,1.0,1,0,0,0,0,0,0
374329976,0.0207566,-0.554745,-0.871881,0.0,0.872979,-0.106574,-0.252421,-0.403525,0.268063,1.0,1,0,0,0,0,0,0
374431326,0.039148,-0.52592,-0.871511,0.0,0.877368,-0.0925646,-0.243581,-0.402895,0.259714,1.0,1,0,0,0,0,0,0
374533907,0.0819477,-0.469358,-0.871699,0.0,0.884945,-0.0619726,-0.227435,-0.401629,0.260685,1.0,1,0,0,0,0,0,0
374634505,0.00157862,-0.319616,-0.87181,0.0,0.89499,-0.0664826,-0.144577,-0.416737,0.242361,1.0,1,0,0,0,0,0,0
374736851,-0.0114309,-0.30271,-0.872204,0.0,0.895664,-0.0688103,-0.134277,-0.418355,0.241596,1.0,1,0,0,0,0,0,0
374838459,0.0885509,-0.224514,-0.873025,0.0,0.901741,-0.00745599,-0.120013,-0.415216,0.219197,1.0,1,0,0,0,0,0,0
374940240,0.0620453,-0.215084,-0.873977,0.0,0.901772,-0.0174631,-0.110253,-0.417549,0.207289,1.0,1,0,0,0,0,0,0
375042710,-0.0140869,-0.238461,-0.875282,0.0,0.898946,-0.0567437,-0.104771,-0.421543,0.205093,1.0,1,0,0,0,0,0,0
375144287,0.0236287,-0.221163,-0.87686,0.0,0.90038,-0.0362138,-0.104897,-0.420716,0.209491,1.0,1,0,0,0,0,0,0
375245816,-0.0224791,-0.188671,-0.878674,0.0,0.900503,-0.0501893,-0.0804856,-0.42438,0.196163,1.0,1,0,0,0,0,0,0
375348332,-0.054719,-0.220481,-0.88059,0.0,0.897515,-0.0714693,-0.0878987,-0.426183,0.183099,1.0,1,0,0,0,0,0,0
375449068,-0.0602006,-0.183624,-0.882613,0.0,0.8988,-0.0662399,-0.0700615,-0.427625,0.178178,1.0,1,0,0,0,0,0,0
375551646,-0.196796,-0.23295,-0.884944,0.0,0.888343,-0.137695,-0.0627335,-0.433534,0.177555,1.0,1,0,0,0,0,0,0
375652879,-0.019149,-0.216272,-0.887255,0.0,0.89744,-0.0549184,-0.0933881,-0.427625,0.177885,1.0,1,0,0,0,0,0,0
375754481,-0.144839,-0.239791,-0.889593,0.0,0.890145,-0.116177,-0.0767778,-0.433878,0.171261,1.0,1,0,0,0,0,0,0
375856787,-0.128593,-0.286428,-0.891612,0.0,0.887227,-0.118793,-0.101089,-0.434163,0.172724,1.0,1,0,0,0,0,0,0
375957662,-0.0620565,-0.241798,-0.894141,0.0,0.893087,-0.0798855,-0.0953848,-0.432337,0.17323,1.0,1,0,0,0,0,0,0
376060381,-0.0904178,-0.163277,-0.896324,0.0,0.895729,-0.0758942,-0.053902,-0.434747,0.156464,1.0,1,0,0,0,0,0,0
376160874,-0.110615,-0.165151,-0.898768,0.0,0.894292,-0.0853974,-0.0502468,-0.436375,0.138084,1.0,1,0,0,0,0,0,0
376263579,-0.215225,-0.219884,-0.901064,0.0,0.884473,-0.143605,-0.0517143,-0.440921,0.138835,1.0,1,0,0,0,0,0,0
376364900,-0.187623,-0.240485,-0.903242,0.0,0.884413,-0.135794,-0.0668658,-0.441478,0.148026,1.0,1,0,0,0,0,0,0
376466698,-0.124521,-0.166639,-0.904846,0.0,0.89227,-0.0920761,-0.0476,-0.439443,0.151809,1.0,1,0,0,0,0,0,0
376568336,-0.266165,-0.300569,-0.906664,0.0,0.8723,-0.182935,-0.075948,-0.447057,0.16531,1.0,1,0,0,0,0,0,0
376670436,-0.143068,-0.268633,-0.908081,0.0,0.884112,-0.122237,-0.0889716,-0.44214,0.171411,1.0,1,0,0,0,0,0,0
376773086,-0.0559093,-0.143255,-0.909593,0.0,0.894818,-0.0564706,-0.0520195,-0.439779,0.17057,1.0,1,0,0,0,0,0,0
376873641,-0.102144,-0.153683,-0.910803,0.0,0.892543,-0.079431,-0.0464659,-0.441473,0.187457,1.0,1,0,0,0,0,0,0
376976800,-0.0177137,-0.176703,-0.911982,0.0,0.893944,-0.0467744,-0.075333,-0.439319,0.16572,1.0,1,0,0,0,0,0,0
377076929,-0.195981,-0.251486,-0.91271,0.0,0.880898,-0.14213,-0.0692647,-0.446116,0.18815,1.0,1,0,0,0,0,0,0
377174792,0.019304,-0.214536,-0.913324,0.0,0.892785,-0.0385944,-0.100319,-0.437472,0.152777,1.0,1,0,0,0,0,0,0
377276883,-0.0851487,-0.201519,-0.913452,0.0,0.890252,-0.0823261,-0.0715221,-0.44222,0.149179,1.0,1,0,0,0,0,0,0
377378695,-0.153818,-0.119261,-0.913299,0.0,0.891272,-0.0950383,-0.0195116,-0.442968,0.159298,1.0,1,0,0,0,0,0,0
377480109,-0.0974006,-0.217879,-0.912941,0.0,0.888902,-0.0913046,-0.0761458,-0.442401,0.159318,1.0,1,0,0,0,0,0,0
377583591,-0.0832106,-0.216624,-0.912622,0.0,0.88967,-0.0847109,-0.0787357,-0.441715,0.155044,1.0,1,0,0,0,0,0,0
377683291,-0.101845,-0.163813,-0.912161,0.0,0.891782,-0.0815318,-0.0510141,-0.442126,0.157261,1.0,1,0,0,0,0,0,0
377785995,0.0491647,-0.266478,-0.911348,0.0,0.891174,-0.0365669,-0.129975,-0.433103,0.151708,1.0,1,0,0,0,0,0,0
377888307,0.0151339,-0.261936,-0.910374,0.0,0.890896,-0.0506732,-0.120591,-0.434965,0.162879,1.0,1,0,0,0,0,0,0
377988838,0.0114883,-0.235137,-0.90932,0.0,0.89249,-0.0463863,-0.107885,-0.435513,0.159796,1.0,1,0,0,0,0,0,0
378091548,0.0538254,-0.181564,-0.908427,0.0,0.895652,-0.0156806,-0.0931938,-0.434599,0.169019,1.0,1,0,0,0,0,0,0
378192931,0.0298378,-0.139724,-0.907419,0.0,0.896992,-0.0172161,-0.0692586,-0.436249,0.200324,1.0,1,0,0,0,0,0,0
378294691,-0.0603988,-0.229244,-0.906355,0.0,0.891242,-0.0770204,-0.0896462,-0.437858,0.197082,1.0,1,0,0,0,0,0,0
378396078,0.0713026,-0.156189,-0.905393,0.0,0.897177,-0.00214585,-0.0856551,-0.433281,0.171025,1.0,1,0,0,0,0,0,0
378498739,0.0293768,-0.219304,-0.904378,0.0,0.894696,-0.0346775,-0.104802,-0.432819,0.197264,1.0,1,0,0,0,0,0,0
378599556,-0.0554893,-0.207588,-0.903284,0.0,0.893291,-0.0700266,-0.0811408,-0.436513,0.199104,1.0,1,0,0,0,0,0,0
378697904,-0.0560208,-0.22686,-0.902277,0.0,0.892435,-0.0743717,-0.0896904,-0.435872,0.196578,1.0,1,0,0,0,0,0,0
378799985,0.0107869,-0.0764099,-0.90119,0.0,0.899608,-0.0117825,-0.0367299,-0.434992,0.179553,1.0,1,0,0,0,0,0,0
378900889,0.0314936,-0.231685,-0.900176,0.0,0.895055,-0.0361949,-0.110864,-0.430437,0.177613,1.0,1,0,0,0,0,0,0
379003512,0.0656187,-0.189493,-0.899026,0.0,0.897485,-0.011674,-0.0993509,-0.42955,0.160931,1.0,1,0,0,0,0,0,0
379104353,-0.0552784,-0.193549,-0.897726,0.0,0.895224,-0.0666946,-0.0750827,-0.434152,0.176783,1.0,1,0,0,0,0,0,0
379206706,0.0408144,-0.231021,-0.896325,0.0,0.896072,-0.0316621,-0.112633,-0.428214,0.17398,1.0,1,0,0,0,0,0,0
379308013,0.0461667,-0.17579,-0.894735,0.0,0.898746,-0.0172343,-0.0890685,-0.428982,0.160763,1.0,1,0,0,0,0,0,0
379409978,0.0414399,-0.0954486,-0.893,0.0,0.90117,-0.00192964,-0.0519563,-0.430336,0.158305,1.0,1,0,0,0,0,0,0
379511503,0.0223774,-0.123671,-0.890806,0.0,0.900954,-0.0165437,-0.0605745,-0.429347,0.168329,1.0,1,0,0,0,0,0,0
379612843,-0.0232479,-0.150302,-0.888512,0.0,0.899946,-0.0427321,-0.0628062,-0.429332,0.173117,1.0,1,0,0,0,0,0,0
379715479,-0.0371672,-0.148363,-0.886142,0.0,0.900209,-0.0485101,-0.0590006,-0.428707,0.166597,1.0,1,0,0,0,0,0,0
379817956,0.0187499,-0.204905,-0.883564,0.0,0.899621,-0.0352948,-0.0964373,-0.424423,0.18225,1.0,1,0,0,0,0,0,0
379918494,0.0946791,-0.162205,-0.881058,0.0,0.902178,0.0081561,-0.0933096,-0.421073,0.176675,1.0,1,0,0,0,0,0,0
380020238,-0.0883042,-0.25862,-0.878154,0.0,0.894293,-0.0943813,-0.0979983,-0.426296,0.206415,1.0,1,0,0,0,0,0,0
380117626,0.0281894,-0.265297,-0.875547,0.0,0.898442,-0.0434095,-0.125698,-0.41847,0.205558,1.0,1,0,0,0,0,0,0
380220371,-0.0201638,-0.193174,-0.872023,0.0,0.901762,-0.0498217,-0.083172,-0.421219,0.189685,1.0,1,0,0,0,0,0,0
380322765,0.0421428,-0.171728,-0.869217,0.0,0.904253,-0.0170605,-0.0866077,-0.417772,0.198084,1.0,1,0,0,0,0,0,0
380423308,-0.135555,-0.23017,-0.865769,0.0,0.896422,-0.109132,-0.0757775,-0.422819,0.204133,1.0,1,0,0,0,0,0,0
380524903,0.0994522,-0.225526,-0.863167,0.0,0.90376,-0.00215066,-0.12274,-0.410059,0.186629,1.0,1,0,0,0,0,0,0
380626428,0.0172649,-0.200325,-0.860006,0.0,0.904735,-0.0338766,-0.0944692,-0.413984,0.183624,1.0,1,0,0,0,0,0,0
380729401,-0.005149,-0.0486257,-0.856514,0.0,0.909393,-0.0124371,-0.0210461,-0.415219,0.176125,1.0,1,0,0,0,0,0,0
380830815,0.00645686,-0.0389191,-0.852208,0.0,0.910432,-0.00510341,-0.0190525,-0.413189,0.176946,1.0,1,0,0,0,0,0,0
380932088,0.157238,0.0564123,-0.847245,0.0,0.907518,0.0831247,-0.00664147,-0.411652,0.166615,1.0,1,0,0,0,0,0,0
381034006,0.104714,0.0916617,-0.842237,0.0,0.909445,0.0664131,0.0203845,-0.409981,0.175198,1.0,1,0,0,0,0,0,0
381136486,0.062453,0.111788,-0.835782,0.0,0.911367,0.0511511,0.038382,-0.406597,0.159861,1.0,1,0,0,0,0,0,0
381237677,0.13109,0.015218,-0.827894,0.0,0.913348,0.0630183,-0.0193929,-0.401807,0.176361,1.0,1,0,0,0,0,0,0
381340357,-0.0902958,0.010308,-0.815178,0.0,0.917224,-0.0393938,0.0226171,-0.395774,0.191835,1.0,1,0,0,0,0,0,0
381440877,0.0394089,0.0164603,-0.8059,0.0,0.919635,0.0213511,-0.000156609,-0.392194,0.199106,1.0,1,0,0,0,0,0,0
