timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
402036806,402036671,0.178387,-0.00544197,-0.0104026,0.200267,0.0,0.0,0.0,1.0
402138412,402138278,0.0845226,-0.050742,-0.0415845,0.196388,0.0,0.0,0.0,1.0
402240009,402239880,-0.121099,-0.145023,-0.220174,0.206453,0.0,0.0,0.0,1.0
402342428,402342284,0.0342391,-0.0115584,-0.0979583,0.208561,0.0,0.0,0.0,1.0
402444032,402443877,0.13208,-0.117342,-0.138052,0.210236,0.0,0.0,0.0,1.0
402545630,402545477,0.0721865,-0.0826704,-0.0688648,0.210282,0.0,0.0,0.0,1.0
402647217,402647071,-0.341666,-0.0962947,-0.17669,0.218173,0.0,0.0,0.0,1.0
402745625,402745480,0.0674731,-0.189104,-0.239224,0.214536,0.0,0.0,0.0,1.0
402847232,402847079,0.0297018,-0.0150379,0.0381683,0.215958,0.0,0.0,0.0,1.0
402948817,402948662,0.0557706,-0.0491334,-0.15868,0.225126,0.0,0.0,0.0,1.0
403050427,403050278,-0.0600004,-0.125904,-0.0760523,0.212845,0.0,0.0,0.0,1.0
403152020,403151879,-0.00807981,0.00671499,-0.0902377,0.207425,0.0,0.0,0.0,1.0
403253623,403253478,-0.27545,-0.0968696,-0.181275,0.216849,0.0,0.0,0.0,1.0
403355238,403355084,0.112818,0.0154091,-0.123473,0.218181,0.0,0.0,0.0,1.0
403457632,403457480,-0.219101,-0.0192026,-0.263331,0.241624,0.0,0.0,0.0,1.0
403559279,403559076,0.137382,-0.0615485,0.00816615,0.233084,0.0,0.0,0.0,1.0
403660825,403660678,-0.0525085,-0.0800607,-0.234265,0.24894,0.0,0.0,0.0,1.0
403762392,403762239,-0.135399,-0.0864751,-0.197444,0.247172,0.0,0.0,0.0,1.0
403864810,403864675,-0.0576213,-0.157395,-0.142134,0.234294,0.0,0.0,0.0,1.0
403966420,403966283,-0.00883098,0.0457996,-0.0216261,0.23517,0.0,0.0,0.0,1.0
404068022,404067882,0.132355,-0.0184607,-0.17887,0.23707,0.0,0.0,0.0,1.0
404169619,404169481,-0.0447576,-0.0554689,-0.162371,0.222995,0.0,0.0,0.0,1.0
404271210,404271073,0.165915,-0.0120063,-0.000445098,0.225876,0.0,0.0,0.0,1.0
404369626,404369481,-0.14688,0.0144405,0.00900666,0.217238,0.0,0.0,0.0,1.0
404471234,404471079,-0.111709,-0.069487,-0.264859,0.219681,0.0,0.0,0.0,1.0
404572818,404572660,0.0814455,-0.0360506,-0.059187,0.216206,0.0,0.0,0.0,1.0
404674431,404674284,-0.190106,-0.0247563,-0.288147,0.234136,0.0,0.0,0.0,1.0
404776021,404775877,0.168605,0.00904548,-0.0562061,0.224564,0.0,0.0,0.0,1.0
404877627,404877479,-0.121665,-0.0766951,-0.244668,0.213115,0.0,0.0,0.0,1.0
404979978,404979834,0.137313,-0.0391634,-0.00475054,0.206682,0.0,0.0,0.0,1.0
405081625,405081476,-0.238137,-0.0437899,-0.239922,0.205559,0.0,0.0,0.0,1.0
405183231,405183079,0.103495,-0.0578136,-0.119067,0.218411,0.0,0.0,0.0,1.0
405285627,405285485,-0.0297643,-0.0797323,-0.177179,0.222585,0.0,0.0,0.0,1.0
405387234,405387079,-0.00628816,-0.110712,-0.30154,0.221024,0.0,0.0,0.0,1.0
405488820,405488676,0.14674,0.105488,0.0471923,0.224281,0.0,0.0,0.0,1.0
405590407,405590259,0.103166,-0.139873,-0.122575,0.225939,0.0,0.0,0.0,1.0
405692037,405691881,0.0511778,-0.0121688,-0.00847165,0.216901,0.0,0.0,0.0,1.0
405793633,405793484,-0.223576,-0.106624,-0.125542,0.207171,0.0,0.0,0.0,1.0
405891224,405891076,-0.10146,-0.101255,-0.147163,0.220294,0.0,0.0,0.0,1.0
405993598,405993439,0.193608,-0.107553,-0.198131,0.206151,0.0,0.0,0.0,1.0
406095235,406095080,0.115266,0.00754688,-0.0573967,0.211226,0.0,0.0,0.0,1.0
406196812,406196677,-0.141499,-0.0286572,-0.22806,0.227815,0.0,0.0,0.0,1.0
406298392,406298263,0.0936797,-0.0240561,-0.00726727,0.21497,0.0,0.0,0.0,1.0
406400828,406400677,-0.057463,-0.0548354,-0.234292,0.199215,0.0,0.0,0.0,1.0
406502413,406502276,-0.00770026,-0.0212972,-0.00855301,0.200772,0.0,0.0,0.0,1.0
406603992,406603863,-0.166907,-0.0692226,-0.222927,0.193468,0.0,0.0,0.0,1.0
406705621,406705483,0.0273588,-0.0634731,-0.250406,0.18874,0.0,0.0,0.0,1.0
406807210,406807078,0.212564,-0.175286,-0.159974,0.175948,0.0,0.0,0.0,1.0
406909606,406909460,0.161374,-0.0702255,-0.056885,0.192141,0.0,0.0,0.0,1.0
407011228,407011082,0.0109494,0.104992,-0.0316283,0.194828,0.0,0.0,0.0,1.0
407112821,407112676,0.00909767,-0.0770711,-0.0391815,0.196891,0.0,0.0,0.0,1.0
407214425,407214275,-0.152214,-0.0133237,-0.257074,0.20628,0.0,0.0,0.0,1.0
407316031,407315868,0.0826771,0.0734993,-0.0678817,0.212031,0.0,0.0,0.0,1.0
407414429,407414279,-0.0344973,-0.0257801,-0.221416,0.210703,0.0,0.0,0.0,1.0
407516019,407515879,0.179433,-0.0613999,-0.108226,0.210913,0.0,0.0,0.0,1.0
407617608,407617463,-0.267509,-0.105992,-0.20804,0.211908,0.0,0.0,0.0,1.0
407719283,407719082,0.249163,0.0244017,0.00661843,0.217232,0.0,0.0,0.0,1.0
407821621,407821476,-0.0708468,0.0161389,-0.0204365,0.212983,0.0,0.0,0.0,1.0
407922433,407922282,-0.00741567,-0.148709,-0.221023,0.208985,0.0,0.0,0.0,1.0
408024824,408024677,0.0848634,-0.0788734,-0.0438347,0.199834,0.0,0.0,0.0,1.0
408126424,408126278,0.0256947,-0.00239625,-0.106452,0.199185,0.0,0.0,0.0,1.0
408228017,408227877,-0.0720877,-0.0676569,-0.175695,0.195203,0.0,0.0,0.0,1.0
408329587,408329434,-0.161224,-0.142672,-0.240932,0.202684,0.0,0.0,0.0,1.0
408432002,408431876,0.0969674,-0.186394,-0.174034,0.194429,0.0,0.0,0.0,1.0
408533604,408533479,0.301723,-0.139233,-0.0472607,0.194806,0.0,0.0,0.0,1.0
408635167,408635035,0.0600207,-0.123459,-0.111104,0.200315,0.0,0.0,0.0,1.0
408736808,408736676,-0.0590905,-0.00632706,-0.122393,0.200003,0.0,0.0,0.0,1.0
408838396,408838266,-0.0384681,-0.109855,-0.261215,0.198752,0.0,0.0,0.0,1.0
408940009,408939864,-0.0267338,-0.00997093,-0.286211,0.20871,0.0,0.0,0.0,1.0
409038432,409038283,0.350368,-0.103688,0.144671,0.211139,0.0,0.0,0.0,1.0
409140031,409139882,-0.122638,0.0922243,0.0601804,0.22823,0.0,0.0,0.0,1.0
409241605,409241461,-0.125152,-0.0510027,-0.237821,0.219747,0.0,0.0,0.0,1.0
409343189,409343036,0.229405,-0.142723,-0.1302,0.211778,0.0,0.0,0.0,1.0
409445613,409445476,-0.0437136,-0.21368,-0.139492,0.12,0.0,0.0,0.0,1.0
409547214,409547062,0.0786987,-0.0440484,-0.190644,0.12,0.0,0.0,0.0,1.0
409648831,409648683,0.131899,0.0698166,-0.117954,0.297217,0.0,0.0,0.0,1.0
409750427,409750280,-0.0146788,-0.0632238,-0.14077,0.314377,0.0,0.0,0.0,1.0
409852033,409851879,-0.116989,-0.00823905,-0.0542633,0.297544,0.0,0.0,0.0,1.0
409953614,409953459,0.212865,-0.0565825,0.0114302,0.283199,0.0,0.0,0.0,1.0
410056024,410055879,-0.0737751,-0.121576,-0.138703,0.270129,0.0,0.0,0.0,1.0
410157626,410157477,-0.0640498,-0.140361,-0.12941,0.263151,0.0,0.0,0.0,1.0
410259265,410259063,0.145111,0.0690347,0.049761,0.258036,0.0,0.0,0.0,1.0
410360832,410360681,-0.0319649,0.0443358,0.0301269,0.255094,0.0,0.0,0.0,1.0
410462427,410462278,-0.04805,0.151219,0.0121949,0.245951,0.0,0.0,0.0,1.0
410564801,410564662,-0.029454,0.135141,-0.0226855,0.239088,0.0,0.0,0.0,1.0
410666375,410666237,0.311419,0.146883,-0.0734028,0.232463,0.0,0.0,0.0,1.0
410768021,410767889,0.178844,0.0444942,-0.0405611,0.224542,0.0,0.0,0.0,1.0
410869606,410869478,0.320267,-0.0512842,-0.0804795,0.232304,0.0,0.0,0.0,1.0
410971227,410971065,-0.144664,-0.0382074,-0.098069,0.225757,0.0,0.0,0.0,1.0
411073628,411073476,-0.00786285,-0.0457225,-0.0999994,0.222209,0.0,0.0,0.0,1.0
411175225,411175077,-0.242092,0.0357486,-0.121038,0.223657,0.0,0.0,0.0,1.0
411276797,411276643,-0.0849506,0.0841118,0.0072136,0.226249,0.0,0.0,0.0,1.0
411378425,411378276,-0.00564332,0.0260603,-0.0412037,0.12,0.0,0.0,0.0,1.0
411480819,411480676,0.141791,-0.058856,-0.140652,0.12,0.0,0.0,0.0,1.0
411582413,411582255,0.0341586,-0.0289666,-0.110011,0.12,0.0,0.0,0.0,1.0
411684035,411683882,0.111798,-0.0733761,-0.0855668,0.328653,0.0,0.0,0.0,1.0
411785627,411785477,0.0089098,-0.0108031,0.0116979,0.294941,0.0,0.0,0.0,1.0
411887185,411887040,-0.0445829,-0.048562,-0.148179,0.265733,0.0,0.0,0.0,1.0
411985621,411985478,-0.328852,-0.147195,-0.110407,0.238512,0.0,0.0,0.0,1.0
412087231,412087080,0.165863,-0.0419903,0.00114423,0.229394,0.0,0.0,0.0,1.0
412188825,412188678,-0.0109471,-0.063305,-0.024424,0.219804,0.0,0.0,0.0,1.0
412290383,412290235,0.0539827,-0.0151743,-0.0059528,0.219424,0.0,0.0,0.0,1.0
412391986,412391840,-0.106247,-0.0168315,-0.237991,0.231388,0.0,0.0,0.0,1.0
412493624,412493479,-0.0381105,0.00373648,-0.0843404,0.234898,0.0,0.0,0.0,1.0
412595997,412595863,0.0841531,-0.0457544,-0.160022,0.251781,0.0,0.0,0.0,1.0
412697607,412697477,0.181643,-0.0664763,-0.232746,0.263227,0.0,0.0,0.0,1.0
412799262,412799075,0.0357058,-0.0987199,-0.157384,0.278937,0.0,0.0,0.0,1.0
412901634,412901483,-0.113737,0.00873309,-0.0855344,0.277983,0.0,0.0,0.0,1.0
413002426,413002282,0.0299737,0.101955,-0.0256452,0.261493,0.0,0.0,0.0,1.0
413104819,413104676,0.044486,-0.001983,-0.0371147,0.257453,0.0,0.0,0.0,1.0
413206418,413206263,0.160706,-0.0440229,-0.189688,0.265497,0.0,0.0,0.0,1.0
413307979,413307835,-0.0503984,-0.0809678,-0.153798,0.246846,0.0,0.0,0.0,1.0
413409624,413409477,-0.262981,-0.14994,-0.204662,0.238977,0.0,0.0,0.0,1.0
413511190,413511037,-0.14393,-0.0872994,-0.214655,0.215758,0.0,0.0,0.0,1.0
413609583,413609437,0.0866731,-0.00604103,-0.241165,0.198947,0.0,0.0,0.0,1.0
413711229,413711078,0.0298982,-0.155041,-0.182041,0.186146,0.0,0.0,0.0,1.0
413812827,413812677,-0.034769,0.019058,-0.369383,0.179338,0.0,0.0,0.0,1.0
413914409,413914260,-0.15793,-0.0408696,-0.332474,0.181337,0.0,0.0,0.0,1.0
414015977,414015835,0.10391,-0.0744667,-0.122879,0.173624,0.0,0.0,0.0,1.0
414118425,414118277,-0.0743015,-0.109779,-0.244263,0.170104,0.0,0.0,0.0,1.0
414220001,414219860,-0.0441042,-0.125335,-0.331298,0.168927,0.0,0.0,0.0,1.0
414321627,414321483,0.0313879,-0.0752643,-0.254301,0.18019,0.0,0.0,0.0,1.0
